ダウンロードした時刻：2019/01/25 15:15:10

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,品質情報,均質番号,,品質情報,均質番号
2009,10,2,雨後一時曇,8,1,雨後曇,8,1
2009,10,3,雨時々曇一時晴,8,1,晴時々曇,8,1
2009,10,4,晴一時曇,8,1,晴時々曇,8,1
2009,10,5,雨一時曇,8,1,雨,8,1
2009,10,6,雨,8,1,雨後一時曇,8,1
2009,10,7,雨,8,1,大雨,8,1
2009,10,8,雨一時曇後晴,8,1,晴時々薄曇,8,1
2009,10,9,晴後曇,8,1,曇一時晴,8,1
2009,10,10,曇時々雨後晴,8,1,晴,8,1
2009,10,11,晴,8,1,晴後曇,8,1
2009,10,12,晴時々曇,8,1,曇,8,1
2009,10,13,晴一時曇,8,1,晴後時々曇,8,1
2009,10,14,晴時々曇,8,1,雨時々曇後晴、雷を伴う,8,1
2009,10,15,快晴,8,1,晴,8,1
2009,10,16,晴,8,1,晴後薄曇,8,1
2009,10,17,曇後一時雨,8,1,曇時々晴一時雨,8,1
2009,10,18,快晴,8,1,晴一時曇,8,1
2009,10,19,晴,8,1,晴後一時薄曇,8,1
2009,10,20,晴後曇,8,1,晴一時曇,8,1
2009,10,21,晴,8,1,晴,8,1
2009,10,22,晴後曇,8,1,曇,8,1
2009,10,23,曇時々晴,8,1,曇,8,1
2009,10,24,曇後一時雨,8,1,雨後一時曇,8,1
2009,10,25,雨後曇,8,1,曇後雨,8,1
2009,10,26,大雨,8,1,雨時々曇,8,1
2009,10,27,快晴,8,1,晴,8,1
2009,10,28,晴一時薄曇,8,1,晴後一時曇,8,1
2009,10,29,曇後晴,8,1,晴時々曇,8,1
2009,10,30,晴後一時薄曇,8,1,晴時々薄曇,8,1
2009,10,31,晴後一時曇,8,1,晴時々曇,8,1
2009,11,1,曇時々晴後一時雨,8,1,雨後一時曇,8,1
2009,11,2,曇時々雨,8,1,雨時々曇後一時晴、あられを伴う,8,1
2009,11,3,快晴,8,1,快晴,8,1
2009,11,4,晴時々曇,8,1,薄曇時々晴,8,1
2009,11,5,曇一時晴,8,1,曇後晴,8,1
2009,11,6,快晴,8,1,晴後曇,8,1
2009,11,7,晴一時曇,8,1,晴時々曇,8,1
2009,11,8,曇後晴,8,1,晴時々曇,8,1
2009,11,9,晴後薄曇,8,1,曇後晴,8,1
2009,11,10,晴後曇,8,1,大雨一時曇,8,1
2009,11,11,大雨,8,1,雨時々曇,8,1
2009,11,12,曇,8,1,曇,8,1
2009,11,13,曇後雨,8,1,雨後一時曇,8,1
2009,11,14,雨後曇,8,1,曇後晴,8,1
2009,11,15,快晴,8,1,晴後一時曇,8,1
2009,11,16,曇,8,1,曇,8,1
2009,11,17,雨,8,1,雨後曇,8,1
2009,11,18,曇一時雨後晴,8,1,晴後曇,8,1
2009,11,19,曇後雨,8,1,晴一時曇,8,1
2009,11,20,晴後曇,8,1,曇一時雨後晴,8,1
2009,11,21,晴一時曇,8,1,晴後時々曇,8,1
2009,11,22,曇時々雨,8,1,曇後時々雨,8,1
2009,11,23,晴一時曇,8,1,晴後一時曇,8,1
2009,11,24,曇一時晴,8,1,雨一時曇,8,1
2009,11,25,雨後晴,8,1,曇一時晴,8,1
2009,11,26,晴一時曇,8,1,晴,8,1
2009,11,27,曇一時晴,8,1,薄曇時々晴,8,1
2009,11,28,晴後一時曇,8,1,曇一時雨後晴,8,1
2009,11,29,晴後曇,8,1,雨一時曇,8,1
2009,11,30,曇一時雨,8,1,晴,8,1
2009,12,1,晴時々曇,8,1,晴一時曇,8,1
2009,12,2,晴,8,1,晴時々曇後雨,8,1
2009,12,3,雨,8,1,雨一時曇後晴,8,1
2009,12,4,晴,8,1,晴後曇,8,1
2009,12,5,曇後雨,8,1,曇一時雨後晴,8,1
2009,12,6,快晴,8,1,快晴,8,1
2009,12,7,晴一時曇,8,1,快晴,8,1
2009,12,8,晴後一時曇,8,1,曇後一時雨,8,1
2009,12,9,曇,8,1,曇後一時晴,8,1
2009,12,10,晴,8,1,曇後一時雨,8,1
2009,12,11,雨,8,1,雨後時々曇,8,1
2009,12,12,曇後晴,8,1,晴後一時薄曇,8,1
2009,12,13,曇後一時雨,8,1,曇時々雨,8,1
2009,12,14,曇後晴,8,1,晴一時曇,8,1
2009,12,15,曇一時晴,8,1,晴時々曇,8,1
2009,12,16,曇,8,1,晴後時々曇,8,1
2009,12,17,晴一時曇,8,1,快晴,8,1
2009,12,18,快晴,8,1,快晴,8,1
2009,12,19,晴,8,1,快晴,8,1
2009,12,20,快晴,8,1,快晴,8,1
2009,12,21,快晴,8,1,晴後一時曇,8,1
2009,12,22,晴,8,1,快晴,8,1
2009,12,23,快晴,8,1,快晴,8,1
2009,12,24,晴,8,1,曇,8,1
2009,12,25,晴一時曇,8,1,曇一時晴,8,1
2009,12,26,曇後晴,8,1,晴,8,1
2009,12,27,薄曇一時晴,8,1,雨時々曇,8,1
2009,12,28,曇後晴,8,1,晴後曇,8,1
2009,12,29,曇後晴,8,1,曇時々晴,8,1
2009,12,30,曇後晴,8,1,快晴,8,1
2009,12,31,晴,8,1,快晴,8,1
